Freq_GHz,Transmittance
1,0.999761
1.6995,0.999672
2.399,0.999576
3.0985,0.999473
3.798,0.999364
4.4975,0.999248
5.197,0.999126
5.8965,0.998997
6.596,0.998863
7.2955,0.998722
7.995,0.998575
8.6945,0.998422
9.394,0.998264
10.0935,0.998099
10.793,0.997929
11.4925,0.997754
12.192,0.997573
12.8915,0.997387
13.591,0.997196
14.2905,0.996999
14.99,0.996797
15.6895,0.996591
16.389,0.996379
17.0885,0.996163
17.788,0.995942
18.4875,0.995716
19.187,0.995486
19.8865,0.995252
20.586,0.995013
21.2855,0.99477
21.985,0.994523
22.6845,0.994271
23.384,0.994016
24.0835,0.993757
24.783,0.993494
25.4825,0.993228
26.182,0.992957
26.8815,0.992684
27.581,0.992407
28.2805,0.992127
28.98,0.991844
29.6795,0.991557
30.379,0.991268
31.0785,0.990976
31.778,0.990681
32.4775,0.990384
33.177,0.990084
33.8765,0.989782
34.576,0.989478
35.2755,0.989172
35.975,0.988864
36.6745,0.988554
37.374,0.988243
38.0735,0.98793
38.773,0.987616
39.4725,0.987301
40.172,0.986985
40.8715,0.986668
41.571,0.98635
42.2705,0.986032
42.97,0.985713
43.6695,0.985395
44.369,0.985076
45.0685,0.984757
45.768,0.984439
46.4675,0.984122
47.167,0.983805
47.8665,0.983488
48.566,0.983173
49.2655,0.982859
49.965,0.982547
50.6645,0.982236
51.364,0.981927
52.0635,0.981619
52.763,0.981313
53.4625,0.98101
54.162,0.980709
54.8615,0.98041
55.561,0.980114
56.2605,0.979821
56.96,0.97953
57.6595,0.979242
58.359,0.978958
59.0585,0.978676
59.758,0.978398
60.4575,0.978124
61.157,0.977852
61.8565,0.977585
62.556,0.977321
63.2555,0.977061
63.955,0.976804
64.6545,0.976552
65.354,0.976303
66.0535,0.976058
66.753,0.975818
67.4525,0.975581
68.152,0.975349
68.8515,0.975121
69.551,0.974897
70.2505,0.974677
70.95,0.974461
71.6495,0.97425
72.349,0.974042
73.0485,0.973839
73.748,0.97364
74.4475,0.973446
75.147,0.973255
75.8465,0.973069
76.546,0.972887
77.2455,0.972709
77.945,0.972535
78.6445,0.972365
79.344,0.972199
80.0435,0.972037
80.743,0.971879
81.4425,0.971725
82.142,0.971574
82.8415,0.971428
83.541,0.971285
84.2405,0.971146
84.94,0.97101
85.6395,0.970878
86.339,0.970749
87.0385,0.970624
87.738,0.970502
88.4375,0.970383
89.137,0.970268
89.8365,0.970155
90.536,0.970046
91.2355,0.96994
91.935,0.969836
92.6345,0.969735
93.334,0.969637
94.0335,0.969541
94.733,0.969448
95.4325,0.969357
96.132,0.969268
96.8315,0.969182
97.531,0.969098
98.2305,0.969016
98.93,0.968935
99.6295,0.968857
100,0.968816
100.329,0.96878
101.028,0.968705
101.728,0.968631
102.427,0.968559
103.127,0.968488
103.826,0.968418
104.526,0.968349
105.225,0.968281
105.925,0.968214
106.624,0.968147
107.324,0.968081
108.023,0.968016
108.723,0.967951
109.422,0.967886
110.122,0.967821
110.822,0.967757
111.521,0.967692
112.221,0.967627
112.92,0.967561
113.62,0.967495
114.319,0.967428
115.019,0.967361
115.718,0.967293
116.418,0.967223
117.117,0.967153
117.817,0.967081
118.516,0.967008
119.216,0.966934
119.915,0.966857
120.615,0.96678
121.314,0.9667
122.013,0.966618
122.713,0.966534
123.412,0.966448
124.112,0.966359
124.811,0.966268
125.511,0.966174
126.21,0.966078
126.91,0.965979
127.609,0.965876
128.309,0.965771
129.008,0.965662
129.708,0.965551
130.407,0.965435
131.107,0.965316
131.806,0.965194
132.506,0.965068
133.206,0.964938
133.905,0.964804
134.605,0.964666
135.304,0.964523
136.004,0.964377
136.703,0.964226
137.403,0.964071
138.102,0.963911
138.802,0.963747
139.501,0.963578
140.201,0.963404
140.9,0.963225
141.6,0.963042
142.299,0.962854
142.999,0.96266
143.698,0.962462
144.398,0.962258
145.097,0.96205
145.797,0.961836
146.496,0.961616
147.196,0.961392
147.895,0.961162
148.595,0.960927
149.294,0.960686
149.994,0.96044
150.693,0.960189
151.393,0.959932
152.092,0.95967
152.792,0.959402
153.491,0.959129
154.19,0.95885
154.89,0.958566
155.589,0.958277
156.289,0.957982
156.988,0.957682
157.688,0.957377
158.387,0.957066
159.087,0.95675
159.786,0.956429
160.486,0.956103
161.185,0.955771
161.885,0.955435
162.584,0.955094
163.284,0.954747
163.983,0.954396
164.683,0.95404
165.382,0.95368
166.082,0.953315
166.781,0.952945
167.481,0.952571
168.18,0.952193
168.88,0.95181
169.579,0.951424
170.279,0.951033
170.978,0.950639
171.678,0.950241
172.377,0.949839
173.077,0.949433
173.776,0.949025
174.476,0.948613
175.175,0.948197
175.875,0.947779
176.575,0.947358
177.274,0.946935
177.974,0.946508
178.673,0.94608
179.373,0.945648
180.072,0.945215
180.772,0.94478
181.471,0.944343
182.171,0.943904
182.87,0.943464
183.57,0.943022
184.269,0.942579
184.969,0.942135
185.668,0.94169
186.368,0.941244
187.067,0.940798
187.767,0.940351
188.466,0.939904
189.166,0.939457
189.865,0.939009
190.565,0.938562
191.264,0.938115
191.964,0.937668
192.663,0.937223
193.363,0.936777
194.062,0.936333
194.762,0.93589
195.461,0.935448
196.161,0.935007
196.86,0.934568
197.56,0.93413
198.259,0.933694
198.958,0.93326
199.658,0.932828
200.357,0.932398
201.057,0.93197
201.756,0.931545
202.456,0.931122
203.155,0.930702
203.855,0.930284
204.554,0.92987
205.254,0.929458
205.953,0.929049
206.653,0.928644
207.352,0.928241
208.052,0.927843
208.751,0.927447
209.451,0.927055
210.15,0.926667
210.85,0.926282
211.549,0.925901
212.249,0.925524
212.948,0.925151
213.648,0.924782
214.347,0.924417
215.047,0.924056
215.746,0.923699
216.446,0.923346
217.145,0.922998
217.845,0.922654
218.544,0.922314
219.244,0.921978
219.944,0.921647
220.643,0.92132
221.343,0.920998
222.042,0.92068
222.742,0.920366
223.441,0.920057
224.141,0.919753
224.84,0.919452
225.54,0.919157
226.239,0.918865
226.939,0.918578
227.638,0.918296
228.338,0.918017
229.037,0.917744
229.737,0.917474
230.436,0.917209
231.136,0.916948
231.835,0.916691
232.535,0.916438
233.234,0.916189
233.934,0.915945
234.633,0.915704
235.333,0.915467
236.032,0.915234
236.732,0.915005
237.431,0.91478
238.131,0.914558
238.83,0.91434
239.53,0.914125
240.229,0.913914
240.929,0.913706
241.628,0.913501
242.327,0.9133
243.027,0.913101
243.726,0.912905
244.426,0.912713
245.125,0.912522
245.825,0.912335
246.524,0.91215
247.224,0.911967
247.923,0.911787
248.623,0.911609
249.322,0.911432
250.022,0.911258
250.721,0.911086
251.421,0.910915
252.12,0.910746
252.82,0.910578
253.519,0.910411
254.219,0.910246
254.918,0.910082
255.618,0.909919
256.317,0.909756
257.017,0.909594
257.716,0.909433
258.416,0.909272
259.115,0.909111
259.815,0.90895
260.514,0.90879
261.214,0.908629
261.913,0.908468
262.613,0.908307
263.312,0.908145
264.012,0.907982
264.712,0.907819
265.411,0.907654
266.111,0.907489
266.81,0.907323
267.51,0.907155
268.209,0.906986
268.909,0.906815
269.608,0.906643
270.308,0.906469
271.007,0.906293
271.707,0.906116
272.406,0.905936
273.106,0.905754
273.805,0.90557
274.505,0.905383
275.204,0.905194
275.904,0.905002
276.603,0.904808
277.303,0.904611
278.002,0.904412
278.702,0.904209
279.401,0.904004
280.101,0.903796
280.8,0.903584
281.5,0.90337
282.199,0.903152
282.899,0.902931
283.598,0.902707
284.298,0.90248
284.997,0.902249
285.697,0.902015
286.396,0.901778
287.096,0.901537
287.795,0.901293
288.495,0.901045
289.194,0.900794
289.894,0.90054
290.593,0.900282
291.293,0.90002
291.992,0.899756
292.692,0.899488
293.391,0.899216
294.091,0.898942
294.79,0.898664
295.49,0.898382
296.189,0.898098
296.889,0.89781
297.588,0.897519
298.288,0.897226
298.987,0.896929
299.687,0.896629
300.386,0.896326
301.086,0.896021
301.785,0.895712
302.485,0.895402
303.184,0.895088
303.884,0.894772
304.583,0.894454
305.283,0.894133
305.982,0.89381
306.682,0.893485
307.381,0.893158
308.08,0.892828
308.78,0.892497
309.479,0.892165
310.179,0.89183
310.878,0.891494
311.578,0.891157
312.277,0.890818
312.977,0.890478
313.676,0.890137
314.376,0.889795
315.075,0.889452
315.775,0.889108
316.474,0.888764
317.174,0.888419
317.873,0.888074
318.573,0.887728
319.272,0.887382
319.972,0.887036
320.671,0.886689
321.371,0.886343
322.07,0.885998
322.77,0.885652
323.469,0.885307
324.169,0.884962
324.868,0.884618
325.568,0.884275
326.267,0.883932
326.967,0.883591
327.666,0.88325
328.366,0.88291
329.065,0.882572
329.765,0.882235
330.464,0.881899
331.164,0.881564
331.863,0.881231
332.563,0.8809
333.262,0.88057
333.962,0.880242
334.661,0.879916
335.361,0.879591
336.06,0.879269
336.76,0.878948
337.459,0.87863
338.159,0.878313
338.858,0.877999
339.558,0.877687
340.257,0.877377
340.957,0.877069
341.656,0.876763
342.356,0.87646
343.055,0.876159
343.755,0.875861
344.454,0.875565
345.154,0.875271
345.853,0.87498
346.553,0.874691
347.252,0.874405
347.952,0.874121
348.651,0.87384
349.351,0.873561
350.05,0.873285
350.75,0.873012
351.45,0.87274
352.149,0.872472
352.849,0.872206
353.548,0.871942
354.248,0.871681
354.947,0.871422
355.647,0.871166
356.346,0.870912
357.046,0.870661
357.745,0.870412
358.445,0.870165
359.144,0.869921
359.844,0.869679
360.543,0.869439
361.243,0.869202
361.942,0.868967
362.642,0.868734
363.341,0.868503
364.041,0.868274
364.74,0.868048
365.44,0.867823
366.139,0.867601
366.839,0.86738
367.538,0.867162
368.238,0.866945
368.937,0.86673
369.637,0.866517
370.336,0.866305
371.036,0.866096
371.735,0.865887
372.435,0.865681
373.134,0.865476
373.834,0.865272
374.533,0.86507
375.233,0.86487
375.932,0.86467
376.632,0.864472
377.331,0.864275
378.031,0.86408
378.73,0.863885
379.43,0.863691
380.129,0.863499
380.829,0.863307
381.528,0.863117
382.228,0.862927
382.927,0.862738
383.627,0.862549
384.326,0.862361
385.026,0.862174
385.725,0.861988
386.425,0.861802
387.124,0.861616
387.824,0.861431
388.523,0.861246
389.223,0.861061
389.922,0.860877
390.622,0.860692
391.321,0.860508
392.021,0.860324
392.72,0.86014
393.42,0.859956
394.119,0.859772
394.818,0.859587
395.518,0.859403
396.217,0.859218
396.917,0.859033
397.616,0.858847
398.316,0.858661
399.015,0.858475
399.715,0.858288
400.414,0.8581
401.114,0.857912
401.813,0.857724
402.513,0.857534
403.212,0.857344
403.912,0.857153
404.611,0.856962
405.311,0.856769
406.01,0.856576
406.71,0.856381
407.409,0.856186
408.109,0.855989
408.808,0.855792
409.508,0.855593
410.207,0.855393
410.907,0.855192
411.606,0.85499
412.306,0.854787
413.005,0.854582
413.705,0.854376
414.404,0.854168
415.104,0.85396
415.803,0.853749
416.503,0.853538
417.202,0.853324
417.902,0.85311
418.601,0.852893
419.301,0.852676
420,0.852456
420.7,0.852235
421.399,0.852012
422.099,0.851788
422.798,0.851562
423.498,0.851334
424.197,0.851104
424.897,0.850873
425.596,0.85064
426.296,0.850405
426.995,0.850168
427.695,0.84993
428.394,0.849689
429.094,0.849447
429.793,0.849202
430.493,0.848956
431.192,0.848708
431.892,0.848458
432.591,0.848206
433.291,0.847952
433.99,0.847696
434.69,0.847438
435.389,0.847178
436.089,0.846916
436.788,0.846652
437.488,0.846386
438.188,0.846118
438.887,0.845848
439.587,0.845576
440.286,0.845302
440.986,0.845025
441.685,0.844747
442.385,0.844467
443.084,0.844184
443.784,0.843899
444.483,0.843613
445.183,0.843324
445.882,0.843033
446.582,0.84274
447.281,0.842445
447.981,0.842148
448.68,0.841849
449.38,0.841548
450.079,0.841244
450.779,0.840939
451.478,0.840631
452.178,0.840322
452.877,0.84001
453.577,0.839696
454.276,0.83938
454.976,0.839062
455.675,0.838742
456.375,0.83842
457.074,0.838096
457.774,0.83777
458.473,0.837441
459.173,0.837111
459.872,0.836778
460.572,0.836444
461.271,0.836107
461.971,0.835768
462.67,0.835427
463.37,0.835084
464.069,0.834739
464.769,0.834391
465.468,0.834042
466.168,0.83369
466.867,0.833336
467.567,0.832979
468.266,0.832621
468.966,0.83226
469.665,0.831896
470.365,0.83153
471.064,0.831162
471.764,0.830791
472.463,0.830417
473.163,0.83004
473.862,0.829661
474.562,0.829279
475.261,0.828893
475.961,0.828505
476.66,0.828113
477.36,0.827718
478.059,0.827319
478.759,0.826917
479.458,0.82651
480.158,0.8261
480.857,0.825686
481.557,0.825268
482.256,0.824846
482.955,0.824419
483.655,0.823988
484.354,0.823553
485.054,0.823114
485.753,0.822671
486.453,0.822225
487.152,0.821775
487.852,0.821321
