# Equilibrium Gap and Current vs Vector Potential
# Generated: 2026-06-10 11:24:41
# T = 0.3, T_c = 1.0, eta = 0.2
# time_sampling = 1501, time_duration = 188.49555921538757
#
# Columns: A  Re(Gap)  Im(Gap)  |Gap|  Re(Current)  Im(Current)  |Current|  Gap_Error
#----------------------------------------------------------------------------------------------------
    0.000000  1.521630e+00  -0.000000e+00  1.521630e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
    0.047368  1.519942e+00  -0.000000e+00  1.519942e+00  2.017948e-01  0.000000e+00  2.017948e-01  4.440892e-16
    0.094737  1.514851e+00  -0.000000e+00  1.514851e+00  4.014347e-01  0.000000e+00  4.014347e-01  2.220446e-16
    0.142105  1.506281e+00  -0.000000e+00  1.506281e+00  5.967081e-01  0.000000e+00  5.967081e-01  2.220446e-16
    0.189474  1.494092e+00  -0.000000e+00  1.494092e+00  7.852806e-01  0.000000e+00  7.852806e-01  4.440892e-16
    0.236842  1.478067e+00  -0.000000e+00  1.478067e+00  9.646088e-01  0.000000e+00  9.646088e-01  2.220446e-16
    0.284211  1.457879e+00  -0.000000e+00  1.457879e+00  1.131816e+00  0.000000e+00  1.131816e+00  2.220446e-16
    0.331579  1.433045e+00  -0.000000e+00  1.433045e+00  1.283503e+00  0.000000e+00  1.283503e+00  0.000000e+00
    0.378947  1.402839e+00  -0.000000e+00  1.402839e+00  1.415444e+00  0.000000e+00  1.415444e+00  0.000000e+00
    0.426316  1.366156e+00  -0.000000e+00  1.366156e+00  1.522119e+00  0.000000e+00  1.522119e+00  0.000000e+00
    0.473684  1.209317e+00  -0.000000e+00  1.209317e+00  1.267402e+00  0.000000e+00  1.267402e+00  2.220446e-16
    0.521053  -5.954146e-02  0.000000e+00  5.954146e-02  -1.781356e-02  0.000000e+00  1.781356e-02  0.000000e+00
    0.568421  5.313868e-02  -0.000000e+00  5.313868e-02  -2.413178e-01  0.000000e+00  2.413178e-01  2.081668e-17
    0.615789  1.008948e-01  -0.000000e+00  1.008948e-01  -6.374057e-02  0.000000e+00  6.374057e-02  1.387779e-17
    0.663158  -2.668258e-02  0.000000e+00  2.668258e-02  -1.245566e-02  0.000000e+00  1.245566e-02  1.040834e-17
    0.710526  -3.153880e-05  0.000000e+00  3.153880e-05  2.312079e-06  0.000000e+00  2.312079e-06  1.355253e-20
    0.757895  -2.108483e-02  0.000000e+00  2.108483e-02  -9.996503e-03  0.000000e+00  9.996503e-03  3.469447e-18
    0.805263  -1.018200e-08  0.000000e+00  1.018200e-08  1.257808e-09  0.000000e+00  1.257808e-09  3.308722e-24
    0.852632  -1.998576e-07  0.000000e+00  1.998576e-07  6.873348e-08  0.000000e+00  6.873348e-08  2.646978e-23
    0.900000  -1.144638e-07  0.000000e+00  1.144638e-07  -3.429018e-08  0.000000e+00  3.429018e-08  2.646978e-23
