# Equilibrium Gap vs Temperature
# Generated: 2026-06-09 21:03:44
# T_c = 1.0, eta = 0.2
# time_sampling = 1501, time_duration = 31.41592653589793
#
# Columns: Temperature  Re(Gap)  Im(Gap)  |Gap|  Error
#--------------------------------------------------------------------
    0.100000  1.551470e+00  -0.000000e+00  1.551470e+00  2.220446e-16
    0.134483  1.549994e+00  -0.000000e+00  1.549994e+00  0.000000e+00
    0.168966  1.547763e+00  -0.000000e+00  1.547763e+00  2.220446e-16
    0.203448  1.544354e+00  -0.000000e+00  1.544354e+00  2.220446e-16
    0.237931  1.539172e+00  -0.000000e+00  1.539172e+00  0.000000e+00
    0.272414  1.531545e+00  -0.000000e+00  1.531545e+00  4.440892e-16
    0.306897  1.520805e+00  -0.000000e+00  1.520805e+00  2.220446e-16
    0.341379  1.506378e+00  -0.000000e+00  1.506378e+00  0.000000e+00
    0.375862  1.487875e+00  -0.000000e+00  1.487875e+00  2.220446e-16
    0.410345  1.465145e+00  -0.000000e+00  1.465145e+00  2.220446e-16
    0.444828  1.438021e+00  -0.000000e+00  1.438021e+00  2.220446e-16
    0.479310  1.405846e+00  -0.000000e+00  1.405846e+00  0.000000e+00
    0.513793  1.366661e+00  -0.000000e+00  1.366661e+00  2.220446e-16
    0.548276  1.317911e+00  -0.000000e+00  1.317911e+00  2.220446e-16
    0.582759  1.261378e+00  -0.000000e+00  1.261378e+00  4.440892e-16
    0.617241  1.199449e+00  -0.000000e+00  1.199449e+00  2.220446e-16
    0.651724  1.122676e+00  -0.000000e+00  1.122676e+00  2.220446e-16
    0.686207  1.032364e+00  -0.000000e+00  1.032364e+00  2.220446e-16
    0.720690  9.261594e-01  -0.000000e+00  9.261594e-01  1.110223e-16
    0.755172  7.948995e-01  -0.000000e+00  7.948995e-01  1.110223e-16
    0.789655  6.195065e-01  -0.000000e+00  6.195065e-01  0.000000e+00
    0.824138  3.520165e-01  -0.000000e+00  3.520165e-01  0.000000e+00
    0.858621  5.986968e-06  -0.000000e+00  5.986968e-06  1.694066e-21
    0.893103  -1.001736e-07  0.000000e+00  1.001736e-07  0.000000e+00
    0.927586  -2.234113e-08  0.000000e+00  2.234113e-08  0.000000e+00
    0.962069  -1.241697e-07  0.000000e+00  1.241697e-07  2.646978e-23
    0.996552  2.470203e-11  -0.000000e+00  2.470203e-11  9.693523e-27
    1.031034  4.261382e-14  -0.000000e+00  4.261382e-14  6.310887e-30
    1.065517  9.082749e-10  -0.000000e+00  9.082749e-10  1.033976e-25
    1.100000  9.000812e-12  -0.000000e+00  9.000812e-12  1.615587e-27
